car_class,price_change,from_day,to_day,pick_up_month
B-Economy Manual-ECMR (Mazda2),10,5,5,May
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,May
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,May
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,May
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,May
A-Mini Manual-MDMR (Citroen C1),10,5,5,June
B-Economy Manual-ECMR (Mazda2),10,5,5,June
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,June
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,June
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,June
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,June
A-Mini Manual-MDMR (Citroen C1),10,5,5,July
B-Economy Manual-ECMR (Mazda2),10,5,5,July
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,July
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,July
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,July
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,July
A-Mini Manual-MDMR (Citroen C1),10,5,5,August
B-Economy Manual-ECMR (Mazda2),10,5,5,August
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,August
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,August
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,August
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,August
A-Mini Manual-MDMR (Citroen C1),10,5,5,September
B-Economy Manual-ECMR (Mazda2),10,5,5,September
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,September
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,September
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,September
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,September
A-Mini Manual-MDMR (Citroen C1),10,5,5,October
B-Economy Manual-ECMR (Mazda2),10,5,5,October
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,October
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,October
